package	version	sha256	source_url
BiocManager	1.30.27	edb0a4b8bdf0fbeb2a9974b297614a4938c8191e5bd6462c37f87b4cd721a975	https://cloud.r-project.org/bin/windows/contrib/4.6/BiocManager_1.30.27.zip
BiocVersion	3.23.1	e5e5fc60309103fc40dfebf08842c357860ad09139ffcb58b54e3d0ff1e58e0f	https://bioconductor.org/packages/3.23/bioc/bin/windows/contrib/4.6/BiocVersion_3.23.1.zip
DT	0.34.0	7eed781db4b91bf1d7eff0af85047b79d92385a2b20dbbc1320a462397779c4c	https://cloud.r-project.org/bin/windows/contrib/4.6/DT_0.34.0.zip
R6	2.6.1	71e54f67950c118f7d3a02c0640fd5d1ce0d372a7b71cf7bdef57628464b7cd0	https://cloud.r-project.org/bin/windows/contrib/4.6/R6_2.6.1.zip
RColorBrewer	1.1-3	b8880e323f75149e90e0300684626a3de0692523a972932b27b7474dfa6beac7	https://cloud.r-project.org/bin/windows/contrib/4.6/RColorBrewer_1.1-3.zip
Rcpp	1.1.2	6ad0ecae04aae99aabe1d58ba1024a65c83700d65a448250219b2c31cf979406	https://cloud.r-project.org/bin/windows/contrib/4.6/Rcpp_1.1.2.zip
S7	0.2.2	da012718215904b367169c80675c3b11c0774afbb25e8c3fa0ce62c08268bbcb	https://cloud.r-project.org/bin/windows/contrib/4.6/S7_0.2.2.zip
askpass	1.2.1	e31ffecd8b6a3d6d57a530fbe626610f3198b632d71f687939508aaac1f34af9	https://cloud.r-project.org/bin/windows/contrib/4.6/askpass_1.2.1.zip
base64enc	0.1-6	546152c4598bf8e108f1154d27c0b5ef927318a31ca71b336c7ede22bb04dab8	https://cloud.r-project.org/bin/windows/contrib/4.6/base64enc_0.1-6.zip
bslib	0.12.0	35aa9463997607db641c12fdb87d7e005b0c226732a79bea318cacfd7516fe4d	https://cloud.r-project.org/bin/windows/contrib/4.6/bslib_0.12.0.zip
cachem	1.1.0	5b5566eed91b3bd2966b4b006d3c8e08637a85646f0a4930ff4169cf2335437b	https://cloud.r-project.org/bin/windows/contrib/4.6/cachem_1.1.0.zip
cellranger	1.1.0	76d8daaed4b3848a14544d577ab1435f0746d73ddd366eddbc9177bbfc859787	https://cloud.r-project.org/bin/windows/contrib/4.6/cellranger_1.1.0.zip
cli	3.6.6	16e1bdf9ad2fa9e7a0197b08e2a2d2746afd0340e0d219d0f95d653a09da392a	https://cloud.r-project.org/bin/windows/contrib/4.6/cli_3.6.6.zip
commonmark	2.0.0	11c50c70e35fa2f8b96fbf2b8037dfc159ca86d60ba3097f59a58ca8bac0699a	https://cloud.r-project.org/bin/windows/contrib/4.6/commonmark_2.0.0.zip
cpp11	0.5.5	3e6d8354b97b860c3c34e635a15b3ebea9d0d2f94be0addd873183715931488c	https://cloud.r-project.org/bin/windows/contrib/4.6/cpp11_0.5.5.zip
crayon	1.5.3	afc3b149ac6a4f64a464068e97efd40073b0ccd80aa850cf1461e3979feadd05	https://cloud.r-project.org/bin/windows/contrib/4.6/crayon_1.5.3.zip
crosstalk	1.2.2	dd88f757723ff4b10e1552794bfed33cfcee412089da2ed3e919ddcd79d48de7	https://cloud.r-project.org/bin/windows/contrib/4.6/crosstalk_1.2.2.zip
curl	8.0.0	f8332a0cae82de216958a59c807c7827c06d146c977a06409de50b7edff00fd8	https://cloud.r-project.org/bin/windows/contrib/4.6/curl_8.0.0.zip
data.table	1.18.6.1	068fe692db49b52ac83e54ea16dcecaaed65dbc2227228257be0628d0096701e	https://cloud.r-project.org/bin/windows/contrib/4.6/data.table_1.18.6.1.zip
digest	0.6.39	057b2629b6077bcf4173519dbfedbf4a2a2ba886678a8225e748c034ae275b56	https://cloud.r-project.org/bin/windows/contrib/4.6/digest_0.6.39.zip
dplyr	1.2.1	1206c66a15b5d13181c65de3a4e61289a44129c6bcfdcb1c657f94af94f54cb1	https://cloud.r-project.org/bin/windows/contrib/4.6/dplyr_1.2.1.zip
edgeR	4.10.1	e3aba4c0397ae772245adb318bf8cbb742e8cff86ded1911e84a3cde2e51f8a6	https://bioconductor.org/packages/3.23/bioc/bin/windows/contrib/4.6/edgeR_4.10.1.zip
evaluate	1.0.5	56916b0ab6a5b21a0307ff15b9d55647c714d0abf76691de3062185654617b98	https://cloud.r-project.org/bin/windows/contrib/4.6/evaluate_1.0.5.zip
farver	2.1.2	c529e1921587d0eadb48507d7136db2f4769d6106363726ae8bd9fa91793f139	https://cloud.r-project.org/bin/windows/contrib/4.6/farver_2.1.2.zip
fastmap	1.2.0	86f29ef7cac51e52ffc50def15cfe3c5446ba428f8ebfaee0105f7d71a5aafd4	https://cloud.r-project.org/bin/windows/contrib/4.6/fastmap_1.2.0.zip
fontawesome	0.5.3	549a532c44591e757577dba144b20ee4d4eb0b8c8e80f99f35acff4e87e7876e	https://cloud.r-project.org/bin/windows/contrib/4.6/fontawesome_0.5.3.zip
fs	2.1.0	c4675f8a0af6c6395d940f7984487f73173ec3732b1639d5b01de68e51d3c1c5	https://cloud.r-project.org/bin/windows/contrib/4.6/fs_2.1.0.zip
generics	0.1.4	068f00b1cd0bc0fbeea1731f6172f8ed28fde23781aced0406bc0ec02cb6a14e	https://cloud.r-project.org/bin/windows/contrib/4.6/generics_0.1.4.zip
ggplot2	4.0.3	f14c0c93a11a89956b9fd116afd89e5e9492033797ca4f72063abc5510a03044	https://cloud.r-project.org/bin/windows/contrib/4.6/ggplot2_4.0.3.zip
glue	1.8.1	0594091547f1c804019e24d943e911434b696a9a1f53aad92cb4d49258753d0f	https://cloud.r-project.org/bin/windows/contrib/4.6/glue_1.8.1.zip
gtable	0.3.6	f2f040952e94a64b14a2c8128c4b39dcccba7e56b085c34b910507c0322a3d90	https://cloud.r-project.org/bin/windows/contrib/4.6/gtable_0.3.6.zip
highr	0.12	1ac2fee027a69385393648d18ce87f31c5caf7e3bbd51d310c87c460c2ff20d7	https://cloud.r-project.org/bin/windows/contrib/4.6/highr_0.12.zip
hms	1.1.4	3afaef7f830673af6dc73f92f5713ba18bd526f5de85902ed4200fbd793cfed0	https://cloud.r-project.org/bin/windows/contrib/4.6/hms_1.1.4.zip
htmltools	0.5.9	aed5b63957cfc5d72afc7fd0a81ac58198b3ad9f3516cd509f960dd39296380f	https://cloud.r-project.org/bin/windows/contrib/4.6/htmltools_0.5.9.zip
htmlwidgets	1.6.4	40b7224c4c2acfd954d67d1f42551cc0688f4e15e3801eaf91a75d7cb98169f3	https://cloud.r-project.org/bin/windows/contrib/4.6/htmlwidgets_1.6.4.zip
httpuv	1.6.17	bfdd6b7d709dc26e20913a3e73e04a51c0ce6ed41efae3db6c3092d225765c1c	https://cloud.r-project.org/bin/windows/contrib/4.6/httpuv_1.6.17.zip
httr	1.4.9	dc35a8382ae460a7f15dda009f767b9e6ee0abe8f5a63b870eb91f910993170d	https://cloud.r-project.org/bin/windows/contrib/4.6/httr_1.4.9.zip
isoband	0.3.0	42281660c535b18f9ce9cc27073809df6c9d463d1e04f4d59a33f3b9f78def1a	https://cloud.r-project.org/bin/windows/contrib/4.6/isoband_0.3.0.zip
jquerylib	0.1.4	d0c434e0ff74c2201d98e71c152b251416c9465f3e387704cb46f9bbeb3c267c	https://cloud.r-project.org/bin/windows/contrib/4.6/jquerylib_0.1.4.zip
jsonlite	2.0.0	12700d804d9404c4e61f3a459751c1de25b5aeea367b15ccd12daa9d0b1a4ab7	https://cloud.r-project.org/bin/windows/contrib/4.6/jsonlite_2.0.0.zip
knitr	1.51	42706d899f6e0cd538683548a66f889570e20a4ab0c2073e6ca23b691079309a	https://cloud.r-project.org/bin/windows/contrib/4.6/knitr_1.51.zip
labeling	0.4.3	a5d4772de28813c6730a37e5a4b9605cf1b941344a319e56af7bacf4680ea82e	https://cloud.r-project.org/bin/windows/contrib/4.6/labeling_0.4.3.zip
later	1.4.8	11c9122582b170dbe957963404ee24776fd8058607f38c1d8b902b5d87267982	https://cloud.r-project.org/bin/windows/contrib/4.6/later_1.4.8.zip
lattice	0.23-1	428a69cae1437e789ba8847d28a0e8fe7f6ed7b3baa362ed73d2dfe0adf545f1	https://cloud.r-project.org/bin/windows/contrib/4.6/lattice_0.23-1.zip
lazyeval	0.2.3	541c662868ca46b158694bf2ee70127356367ce496d2efe99c4caf02ff0e8335	https://cloud.r-project.org/bin/windows/contrib/4.6/lazyeval_0.2.3.zip
lifecycle	1.0.5	5931ecf002982c9a4a3062c0a083400854b97073addd944bffaccb94594f7cc0	https://cloud.r-project.org/bin/windows/contrib/4.6/lifecycle_1.0.5.zip
limma	3.68.4	6445113d09d596d2c3da29f3f36cbc74c3bc769ae54ebc342cf12833bc5b5f1e	https://bioconductor.org/packages/3.23/bioc/bin/windows/contrib/4.6/limma_3.68.4.zip
locfit	1.5-9.12	d4c5483b1dabd8fbffe32bd4abcc7054070d9519e71783bd750131ba6c4ee9ad	https://cloud.r-project.org/bin/windows/contrib/4.6/locfit_1.5-9.12.zip
