component	version	kind	license	official_source	evidence_path	evidence_sha256	use	distributed_in_restore_source_archive	handling
R	4.6.1	runtime	GPL-2 | GPL-3; components retain respective terms	https://www.r-project.org/Licenses/	runtime/R-4.6.1/COPYING	e6d6a009505e345fe949e1310334fcb0747f28dae2856759de102ab66b722cb4	Runtime installed separately	no	Official bundled COPYING inspected; web licence index timed out. Do not bundle runtime.
BiocManager	1.30.27	R package	Artistic-2.0	https://cran.r-project.org/package=BiocManager	.library/BiocManager/DESCRIPTION	9a50bbd64b5fb4ff371582de4ae3db2e9f83bb70e3f3188e854ea64c5edf3d48	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.30.27
BiocVersion	3.23.1	R package	Artistic-2.0	https://bioconductor.org/packages/BiocVersion	.library/BiocVersion/DESCRIPTION	332e50f51e7d5d317f578846407ab0947c9a4f94694c79f78011b2c1a20b080b	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 3.23.1
DT	0.34.0	R package	MIT + file LICENSE	https://cran.r-project.org/package=DT	.library/DT/DESCRIPTION	222e688e9d5813f0aa770eaac3d0581034c9f5f13960fea5dc0be7397ec38bec	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.34.0
R6	2.6.1	R package	MIT + file LICENSE	https://cran.r-project.org/package=R6	.library/R6/DESCRIPTION	e5ac7d4458f2b320da1b1806004faf411e39fd1751a39b077f708d55b8b6ce18	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 2.6.1
RColorBrewer	1.1-3	R package	Apache License 2.0	https://cran.r-project.org/package=RColorBrewer	.library/RColorBrewer/DESCRIPTION	c3fcedf3dd21e12f5bd9125e635c6419a45a16402bba5478423b3f6a88aa86bb	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.1-3
Rcpp	1.1.2	R package	GPL (>= 2)	https://cran.r-project.org/package=Rcpp	.library/Rcpp/DESCRIPTION	8f3bbfa9294022f3eed578a2677edfe766a6388edf83a7adff5d662a9d89a899	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.1.2
S7	0.2.2	R package	MIT + file LICENSE	https://cran.r-project.org/package=S7	.library/S7/DESCRIPTION	b5910aa9a84d0f00853c8790b0adad54fa3e61ba1287412b93908d2c51462151	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.2.2
askpass	1.2.1	R package	MIT + file LICENSE	https://cran.r-project.org/package=askpass	.library/askpass/DESCRIPTION	62868334373a3538a8d8dd2c51d3575f84ffd852b59d0af6c10b14036ca31e11	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 1.2.1
base64enc	0.1-6	R package	GPL-2 | GPL-3	https://cran.r-project.org/package=base64enc	.library/base64enc/DESCRIPTION	cba356a7a36237b26c2ea988c14aaa42f3dbb870e08541ebcd8b5778a61e9ff3	Installed by official dependency restoration	no	Preserve upstream package and all nested notices; not project-owned source. Locked version 0.1-6
