sample_id	group	role	batch
s001	C	C	b1
s002	C	C	b2
s003	C	C	b1
s004	C	C	b2
s005	C	C	b1
s006	C	C	b2
s007	C	C	b1
s008	C	C	b2
s009	C	C	b1
s010	C	C	b2
s011	C	C	b1
s012	C	C	b2
s013	D	D	b1
s014	D	D	b2
s015	D	D	b1
s016	D	D	b2
s017	D	D	b1
s018	D	D	b2
s019	D	D	b1
s020	D	D	b2
s021	D	D	b1
s022	D	D	b2
s023	D	D	b1
s024	D	D	b2
s025	T1	T	b1
s026	T1	T	b2
s027	T1	T	b1
s028	T1	T	b2
s029	T1	T	b1
s030	T1	T	b2
s031	T1	T	b1
s032	T1	T	b2
s033	T1	T	b1
s034	T1	T	b2
s035	T1	T	b1
s036	T1	T	b2
s037	T2	T	b1
s038	T2	T	b2
s039	T2	T	b1
s040	T2	T	b2
s041	T2	T	b1
s042	T2	T	b2
s043	T2	T	b1
s044	T2	T	b2
s045	T2	T	b1
s046	T2	T	b2
s047	T2	T	b1
s048	T2	T	b2
