sample_id	group	role	batch	biological_unit
sample_01	Control	C	batch1	unit_01
sample_02	Control	C	batch1	unit_02
sample_03	Control	C	batch1	unit_03
sample_04	Control	C	batch2	unit_04
sample_05	Control	C	batch2	unit_05
sample_06	Control	C	batch2	unit_06
sample_07	Disease	D	batch1	unit_07
sample_08	Disease	D	batch1	unit_08
sample_09	Disease	D	batch1	unit_09
sample_10	Disease	D	batch2	unit_10
sample_11	Disease	D	batch2	unit_11
sample_12	Disease	D	batch2	unit_12
sample_13	Treatment	T	batch1	unit_13
sample_14	Treatment	T	batch1	unit_14
sample_15	Treatment	T	batch1	unit_15
sample_16	Treatment	T	batch2	unit_16
sample_17	Treatment	T	batch2	unit_17
sample_18	Treatment	T	batch2	unit_18
